0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,1,,,,,,,
2,spawn,,right,normal,3,50,15,1,0.5
3,spawn,,right,normal,2,30,5,2,0.5
4,wait,3,,,,,,,
5,spawn,,right,normal,2,40,10,1,0.5
6,spawn,,left,normal,2,40,10,1,0.5
7,spawn,,left,normal,2,40,10,1,0.5
8,spawn,,right,normal,1,30,5,2,0.5
9,spawn,,left,normal,2,40,10,1,0.5
10,wait,5,,,,,,,
11,spawn,,right,normal,1,30,5,2,0.5
12,spawn,,left,normal,2,40,10,1,0.5
13,spawn,,right,normal,2,40,10,1,0.5
14,wait,,right,normal,1,30,5,2,0.5
15,spawn,,left,normal,3,50,15,1,0.5
16,wait,5,,,,,,,
17,spawn,,left,normal,2,40,10,1,0.5
18,spawn,,right,normal,3,50,15,1,0.5
19,wait,3,,,,,,,
20,spawn,,right,normal,2,40,10,1,0.5
21,spawn,,left,normal,2,40,10,1,0.5
22,wait,6,,,,,,,
23,spawn,,left,normal,3,50,15,1,0.5
24,spawn,,right,normal,3,50,15,1,0.5
