0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,2,,,,,,,
2,spawn,,right,normal,3,50,15,2,0.5
3,wait,5,,,,,,,
4,spawn,,left,normal,2,40,10,2,0.5
5,spawn,,left,normal,3,50,15,2,0.5
6,spawn,,right,normal,3,50,15,2,0.5
7,spawn,,right,normal,1,30,5,2,0.5
8,spawn,,left,normal,3,50,15,2,0.5
9,wait,6,,,,,,,
10,spawn,,left,normal,3,50,15,2,0.5
11,spawn,,right,normal,3,50,15,2,0.5
12,wait,5,,,,,,,
13,spawn,,right,normal,4,60,20,2,0.5
14,wait,3,,,,,,,
15,spawn,,left,normal,3,50,15,2,0.5
16,spawn,,right,normal,1,30,5,2,0.5
17,wait,2,,,,,,,
18,spawn,,left,normal,3,50,15,2,0.5
19,spawn,,left,normal,4,60,20,2,0.5
20,wait,2,,,,,,,
21,spawn,,right,normal,3,50,15,2,0.5
22,spawn,,left,normal,4,60,20,2,0.5
23,spawn,,right,normal,2,40,10,2,0.5
