0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,3,,,,,,,
2,spawn,,left,normal,1,20,5,2,0.5
3,spawn,,right,normal,1,20,5,2,0.5
4,wait,3,,,,,,,
5,spawn,,right,normal,1,20,5,2,0.5
6,wait,2,,,,,,,
7,wait,,left,normal,1,20,5,2,0.5
8,wait,5,,,,,,,
9,spawn,,right,normal,1,20,5,2,0.5
10,spawn,,left,normal,1,20,5,2,0.5
11,spawn,,right,normal,1,20,5,2,0.5
12,wait,3,,,,,,,
13,spawn,,right,normal,1,20,5,2,0.5
14,spawn,,left,normal,1,20,5,2,0.5
15,wait,5,,,,,,,
16,spawn,,right,normal,1,20,10,2,0.5
