0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,spawn,,left,normal,1,30,5,2,0.5
2,wait,5,,,,,,,
3,spawn,,right,normal,1,30,5,2,0.5
4,wait,3,,,,,,,
5,spawn,,right,normal,2,40,10,1,0.5
6,spawn,,left,normal,1,30,5,2,0.5
7,spawn,,left,normal,2,40,10,2,0.5
8,wait,5,,,,,,,
9,spawn,,right,normal,1,30,5,2,0.5
10,spawn,,right,normal,1,30,5,2,0.5
11,wait,4,,,,,,,
12,spawn,,right,normal,2,40,10,1,0.5
13,spawn,,left,normal,1,30,5,2,0.5
14,wait,3,,,,,,,
15,spawn,,right,normal,1,30,5,2,0.5
16,wait,2,,,,,,,
17,spawn,,right,normal,1,30,5,2,0.5
18,spawn,,left,normal,2,40,10,1,0.5
19,wait,5,,,,,,,
20,spawn,,right,normal,2,40,10,1,0.5
