0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,2,,,,,,,
2,spawn,,left,normal,3,50,15,2,0.5
3,spawn,,right,normal,2,40,10,2,0.5
4,spawn,,left,normal,3,50,15,2,0.5
5,wait,5,,,,,,,
6,spawn,,left,normal,2,40,10,2,0.5
7,wait,2,,,,,,,
8,spawn,,left,normal,3,50,15,2,0.5
9,wait,3,,,,,,,
10,spawn,,right,normal,4,60,20,2,0.5
11,spawn,,left,normal,3,50,15,2,0.5
12,wait,2,,,,,,,
13,spawn,,left,normal,3,50,15,2,0.5
14,spawn,,right,normal,3,50,15,2,0.5
15,spawn,,right,normal,4,60,20,2,0.5
16,spawn,,left,normal,3,50,15,2,0.5
17,wait,5,,,,,,,
18,spawn,,right,normal,3,50,15,2,0.5
19,spawn,,left,normal,3,50,15,2,0.5
20,spawn,,left,normal,4,60,20,2,0.5
21,spawn,,right,normal,3,50,15,2,0.5
22,wait,4,,,,,,,
23,spawn,,left,normal,1,30,5,2,0.5
