0,orderType,waitSecond,spawnLine,zombieType,zombieQuantity,zombieHealth,zombieAttackPoint,zombieSpeed,zombieAttackSpeed
1,wait,1,,,,,,,
2,spawn,,left,normal,2,40,10,1,0.5
3,spawn,,right,normal,1,30,5,2,0.5
4,wait,5,,,,,,,
5,spawn,,right,normal,2,40,10,1,0.5
6,spawn,,left,normal,2,40,10,1,0.5
7,spawn,,left,normal,2,40,10,1,0.5
8,spawn,,right,normal,1,30,5,2,0.5
9,spawn,,right,normal,1,30,5,2,0.5
10,wait,8,,,,,,,
11,spawn,,right,normal,1,30,5,2,0.5
12,spawn,,left,normal,1,30,5,2,0.5
13,spawn,,left,normal,1,30,5,2,0.5
14,spawn,,right,normal,2,40,10,1,0.5
15,wait,3,,,,,,,
16,spawn,,right,normal,1,30,5,2,0.5
17,spawn,,left,normal,1,30,5,2,0.5
18,wait,3,,,,,,,
19,spawn,,right,normal,3,50,20,2,1
